Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2002,31.79944381
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2003,39.67158664
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2004,47.16171112
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2005,59.30222779
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2006,65.62707548
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2007,75.93117945
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2008,85.28775045
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2009,100.5100573
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2010,108.1532685
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2011,122.2939972
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2012,129.0367121
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2013,135.0033742
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2014,146.5637986
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2015,155.4745253
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2016,161.7444056
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2017,166.5730267
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2018,166.3649481
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2019,179.6263582
F.  Product uses as ODS substitutes,Australian Capital Territory,Australian Capital Territory,2020,183.8082927
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1990,3.746937493
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1991,4.094056551
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1992,4.458027956
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1993,4.805033185
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1994,5.143539867
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1995,5.487379843
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1996,4.863686494
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1997,4.51521266
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1998,4.046337461
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,1999,3.535076688
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2000,3.565634518
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2001,3.706010087
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2002,3.803147757
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2003,3.853016301
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2004,3.832912107
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2005,3.241848151
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2006,3.063256407
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2007,2.912200081
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2008,2.715926104
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2009,2.479589349
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2010,2.148418462
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2011,2.009938125
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2012,1.956424111
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2013,1.838423721
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2014,1.805687798
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2015,1.99247686
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2016,2.011898181
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2017,1.996387249
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2018,2.518198536
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2019,2.370659287
G.  Other product manufAustralian Capital Territoryure and use,Australian Capital Territory,Australian Capital Territory,2020,1.572336262
H.  Other,Australian Capital Territory,Australian Capital Territory,1990,0.572958469
H.  Other,Australian Capital Territory,Australian Capital Territory,1991,0.561123665
H.  Other,Australian Capital Territory,Australian Capital Territory,1992,0.568430915
H.  Other,Australian Capital Territory,Australian Capital Territory,1993,0.530197598
H.  Other,Australian Capital Territory,Australian Capital Territory,1994,0.568282155
H.  Other,Australian Capital Territory,Australian Capital Territory,1995,0.624282548
H.  Other,Australian Capital Territory,Australian Capital Territory,1996,0.621190328
H.  Other,Australian Capital Territory,Australian Capital Territory,1997,0.62442939
H.  Other,Australian Capital Territory,Australian Capital Territory,1998,0.513125267
H.  Other,Australian Capital Territory,Australian Capital Territory,1999,0.494546365
H.  Other,Australian Capital Territory,Australian Capital Territory,2000,0.535250898
H.  Other,Australian Capital Territory,Australian Capital Territory,2001,0.489497631
H.  Other,Australian Capital Territory,Australian Capital Territory,2002,0.493531434
H.  Other,Australian Capital Territory,Australian Capital Territory,2003,0.521550728
H.  Other,Australian Capital Territory,Australian Capital Territory,2004,0.502009372
H.  Other,Australian Capital Territory,Australian Capital Territory,2005,0.496746148
H.  Other,Australian Capital Territory,Australian Capital Territory,2006,0.505122086
H.  Other,Australian Capital Territory,Australian Capital Territory,2007,0.508162185
H.  Other,Australian Capital Territory,Australian Capital Territory,2008,0.525651849
H.  Other,Australian Capital Territory,Australian Capital Territory,2009,0.560586439
H.  Other,Australian Capital Territory,Australian Capital Territory,2010,0.602328449
H.  Other,Australian Capital Territory,Australian Capital Territory,2011,0.592197598
H.  Other,Australian Capital Territory,Australian Capital Territory,2012,0.617973339
H.  Other,Australian Capital Territory,Australian Capital Territory,2013,0.615296175
H.  Other,Australian Capital Territory,Australian Capital Territory,2014,0.268294519
H.  Other,Australian Capital Territory,Australian Capital Territory,2015,0.269190405
H.  Other,Australian Capital Territory,Australian Capital Territory,2016,0.252788843
H.  Other,Australian Capital Territory,Australian Capital Territory,2017,0.203851774
H.  Other,Australian Capital Territory,Australian Capital Territory,2018,0.204193575
H.  Other,Australian Capital Territory,Australian Capital Territory,2019,0.20403348
H.  Other,Australian Capital Territory,Australian Capital Territory,2020,0.203745179
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1990,56.50057451
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1991,53.14334038
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1992,50.20232614
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1993,50.23078988
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1994,49.29746298
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1995,43.69671583
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1996,44.18162005
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1997,46.1258565
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1998,38.59257909
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,1999,39.08722382
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2000,40.32502912
3.  Agriculture,Australian Capital Territory,Australian Capital Territory,2001,49.79446227
