Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,Queensland,Queensland,1990,1240.262979
D. Wetland,Queensland,Queensland,1990,2428.790128
Direct emissions from forest clearing,Queensland,Queensland,1990,70181.30683
E. SettlemeNorthern Territorys,Queensland,Queensland,1990,2740.819066
Emissions from post-clearing land uses,Queensland,Queensland,1990,27246.53511
F.  Fld burning of agricultural residues,Queensland,Queensland,1990,86.66952868
Forest converted to other land uses,Queensland,Queensland,1990,97427.84193
G.  Other product manufAustralian Capital Territoryure and use,Queensland,Queensland,1990,38.43311239
G. Harvested Wood Products,Queensland,Queensland,1990,-1089.622198
G. Liming,Queensland,Queensland,1990,31.46789191
H. Urea application,Queensland,Queensland,1990,82.1835051
PlaNorthern Territoryations and Natural Regeneration,Queensland,Queensland,1990,-56.25267506
Regrowth on deforested land,Queensland,Queensland,1990,-1807.95808
Total (net emissions),Queensland,Queensland,1990,193271.6476
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1990,193271.6476
1.  Cropland remaining cropland,Queensland,Queensland,1991,3108.051292
1.  Energy industrs,Queensland,Queensland,1991,25835.95305
1.  Forest land remaining forest land,Queensland,Queensland,1991,3396.646318
1.  Grassland remaining grassland,Queensland,Queensland,1991,10761.69119
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,Queensland,Queensland,1991,-1.634374151
1.  Solid fuels,Queensland,Queensland,1991,4414.506735
1.  Wetland remaining wetland,Queensland,Queensland,1991,1312.021888
1. Energy,Queensland,Queensland,1991,51265.83977
2.  Industrial Processes,Queensland,Queensland,1991,3250.652698
2.  La nd converted to grassland,Queensland,Queensland,1991,83153.90526
2.  Land converted to cropland,Queensland,Queensland,1991,5454.325724
2.  Land converted to forest land,Queensland,Queensland,1991,-2034.659233
2.  Land converted to settlemeNorthern Territorys,Queensland,Queensland,1991,2650.943393
2.  Land converted to wetland,Queensland,Queensland,1991,880.0419886
2.  ManufAustralian Capital Territoryuring industrs and construction,Queensland,Queensland,1991,7356.253083
2.  Oil and natural gas and other emissions from energy production,Queensland,Queensland,1991,451.5761763
3.  Agriculture,Queensland,Queensland,1991,22362.01689
3.  Transport,Queensland,Queensland,1991,11492.12051
4.  Other sectors,Queensland,Queensland,1991,1715.430213
"4. Land Use, Land-Use Change and Forestry",Queensland,Queensland,1991,107780.3732
5.  Western Australiaste,Queensland,Queensland,1991,3992.878267
A.  ENorthern Territoryeric fermeNorthern Territoryation,Queensland,Queensland,1991,17875.56357
A.  Mineral industry,Queensland,Queensland,1991,840.6536199
A.  Solid Western Australiaste dispoSouth Australial,Queensland,Queensland,1991,2717.604789
A. Forest Land,Queensland,Queensland,1991,1361.987085
A. Fuel combustion (sectoral approach),Queensland,Queensland,1991,46399.75686
B.  Biological treatmeNorthern Territory of solid Western Australiaste,Queensland,Queensland,1991,5.124547672
B.  Chemical industry,Queensland,Queensland,1991,429.0865929
B.  Manure managemeNorthern Territory,Queensland,Queensland,1991,2090.890832
B. Cropland,Queensland,Queensland,1991,8562.377016
B. Fugitive emissions from fuels,Queensland,Queensland,1991,4866.082911
C.  Incineration and open burning of Western Australiaste,Queensland,Queensland,1991,27.78663278
C.  Rice cultivation,Queensland,Queensland,1991,18.0237092
C. Grassland,Queensland,Queensland,1991,93915.59645
D.  Agricultural soils,Queensland,Queensland,1991,2157.418597
D.  Non-energy products from fuels and solveNorthern Territory use,Queensland,Queensland,1991,69.56871703
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,Queensland,Queensland,1991,1242.362298
D. Wetland,Queensland,Queensland,1991,2192.063877
Direct emissions from forest clearing,Queensland,Queensland,1991,63615.92368
E. SettlemeNorthern Territorys,Queensland,Queensland,1991,2649.309019
Emissions from post-clearing land uses,Queensland,Queensland,1991,27493.9881
F.  Fld burning of agricultural residues,Queensland,Queensland,1991,86.16961344
Forest converted to other land uses,Queensland,Queensland,1991,91109.91178
G.  Other product manufAustralian Capital Territoryure and use,Queensland,Queensland,1991,42.06951512
G. Harvested Wood Products,Queensland,Queensland,1991,-900.9601978
G. Liming,Queensland,Queensland,1991,38.03072483
H. Urea application,Queensland,Queensland,1991,95.91984645
PlaNorthern Territoryations and Natural Regeneration,Queensland,Queensland,1991,-94.35170926
Regrowth on deforested land,Queensland,Queensland,1991,-1940.307524
Total (net emissions),Queensland,Queensland,1991,188651.7609
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1991,188651.7609
1.  Cropland remaining cropland,Queensland,Queensland,1992,2854.393043
1.  Energy industrs,Queensland,Queensland,1992,27074.07178
1.  Forest land remaining forest land,Queensland,Queensland,1992,148.2879053
1.  Grassland remaining grassland,Queensland,Queensland,1992,9225.020185
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,Queensland,Queensland,1992,0.144644717
1.  Solid fuels,Queensland,Queensland,1992,4735.592674
1.  Wetland remaining wetland,Queensland,Queensland,1992,1107.727578
1. Energy,Queensland,Queensland,1992,53242.61955
2.  Industrial Processes,Queensland,Queensland,1992,3291.135017
2.  La nd converted to grassland,Queensland,Queensland,1992,58965.3894
2.  Land converted to cropland,Queensland,Queensland,1992,3062.445428
2.  Land converted to forest land,Queensland,Queensland,1992,-2234.40646
2.  Land converted to settlemeNorthern Territorys,Queensland,Queensland,1992,2497.866586
2.  Land converted to wetland,Queensland,Queensland,1992,809.8688668
2.  ManufAustralian Capital Territoryuring industrs and construction,Queensland,Queensland,1992,7460.05152
2.  Oil and natural gas and other emissions from energy production,Queensland,Queensland,1992,468.3247281
3.  Agriculture,Queensland,Queensland,1992,21800.72633
3.  Transport,Queensland,Queensland,1992,11778.30963
4.  Other sectors,Queensland,Queensland,1992,1726.26922
"4. Land Use, Land-Use Change and Forestry",Queensland,Queensland,1992,75495.82442
5.  Western Australiaste,Queensland,Queensland,1992,3993.664371
A.  ENorthern Territoryeric fermeNorthern Territoryation,Queensland,Queensland,1992,17554.90311
A.  Mineral industry,Queensland,Queensland,1992,807.8649694
A.  Solid Western Australiaste dispoSouth Australial,Queensland,Queensland,1992,2744.938711
A. Forest Land,Queensland,Queensland,1992,-2086.118555
A. Fuel combustion (sectoral approach),Queensland,Queensland,1992,48038.70215
B.  Biological treatmeNorthern Territory of solid Western Australiaste,Queensland,Queensland,1992,6.596683649
B.  Chemical industry,Queensland,Queensland,1992,495.9591909
B.  Manure managemeNorthern Territory,Queensland,Queensland,1992,2039.59542
B. Cropland,Queensland,Queensland,1992,5916.83847
B. Fugitive emissions from fuels,Queensland,Queensland,1992,5203.917403
C.  Incineration and open burning of Western Australiaste,Queensland,Queensland,1992,27.8705079
C.  Rice cultivation,Queensland,Queensland,1992,5.361286
C. Grassland,Queensland,Queensland,1992,68190.40959
D.  Agricultural soils,Queensland,Queensland,1992,2007.315859
D.  Non-energy products from fuels and solveNorthern Territory use,Queensland,Queensland,1992,69.19469166
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,Queensland,Queensland,1992,1214.258468
D. Wetland,Queensland,Queensland,1992,1917.596445
Direct emissions from forest clearing,Queensland,Queensland,1992,45422.95571
E. SettlemeNorthern Territorys,Queensland,Queensland,1992,2498.011231
Emissions from post-clearing land uses,Queensland,Queensland,1992,18902.64523
F.  Fld burning of agricultural residues,Queensland,Queensland,1992,61.42283744
Forest converted to other land uses,Queensland,Queensland,1992,64325.60094
G.  Other product manufAustralian Capital Territoryure and use,Queensland,Queensland,1992,45.7977575
G. Harvested Wood Products,Queensland,Queensland,1992,-940.9127589
G. Liming,Queensland,Queensland,1992,45.9622791
H. Urea application,Queensland,Queensland,1992,86.16554569
PlaNorthern Territoryations and Natural Regeneration,Queensland,Queensland,1992,-84.12592084
Regrowth on deforested land,Queensland,Queensland,1992,-2150.280539
Total (net emissions),Queensland,Queensland,1992,157823.9697
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1992,157823.9697
1.  Cropland remaining cropland,Queensland,Queensland,1993,2551.621113
1.  Energy industrs,Queensland,Queensland,1993,28825.16988
1.  Forest land remaining forest land,Queensland,Queensland,1993,1663.634468
1.  Grassland remaining grassland,Queensland,Queensland,1993,6821.209157
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,Queensland,Queensland,1993,0.889574916
1.  Solid fuels,Queensland,Queensland,1993,4837.301737
1.  Wetland remaining wetland,Queensland,Queensland,1993,1419.59389
1. Energy,Queensland,Queensland,1993,55740.7878
2.  Industrial Processes,Queensland,Queensland,1993,3326.457814
2.  La nd converted to grassland,Queensland,Queensland,1993,55219.17982
2.  Land converted to cropland,Queensland,Queensland,1993,1733.928281
2.  Land converted to forest land,Queensland,Queensland,1993,-3131.315433
2.  Land converted to settlemeNorthern Territorys,Queensland,Queensland,1993,2372.73055
2.  Land converted to wetland,Queensland,Queensland,1993,539.1315618
2.  ManufAustralian Capital Territoryuring industrs and construction,Queensland,Queensland,1993,7543.484196
2.  Oil and natural gas and other emissions from energy production,Queensland,Queensland,1993,505.7570596
3.  Agriculture,Queensland,Queensland,1993,21238.39617
3.  Transport,Queensland,Queensland,1993,12275.39922
4.  Other sectors,Queensland,Queensland,1993,1753.675703
"4. Land Use, Land-Use Change and Forestry",Queensland,Queensland,1993,68207.77697
5.  Western Australiaste,Queensland,Queensland,1993,4008.775522
A.  ENorthern Territoryeric fermeNorthern Territoryation,Queensland,Queensland,1993,17043.40073
A.  Mineral industry,Queensland,Queensland,1993,855.6770418
A.  Solid Western Australiaste dispoSouth Australial,Queensland,Queensland,1993,2790.767833
A. Forest Land,Queensland,Queensland,1993,-1467.680965
A. Fuel combustion (sectoral approach),Queensland,Queensland,1993,50397.72901
B.  Biological treatmeNorthern Territory of solid Western Australiaste,Queensland,Queensland,1993,8.140213903
B.  Chemical industry,Queensland,Queensland,1993,774.5251583
B.  Manure managemeNorthern Territory,Queensland,Queensland,1993,2039.113992
B. Cropland,Queensland,Queensland,1993,4285.549395
B. Fugitive emissions from fuels,Queensland,Queensland,1993,5343.058797
C.  Incineration and open burning of Western Australiaste,Queensland,Queensland,1993,27.9688547
C. Grassland,Queensland,Queensland,1993,62040.38897
D.  Agricultural soils,Queensland,Queensland,1993,1938.459588
D.  Non-energy products from fuels and solveNorthern Territory use,Queensland,Queensland,1993,71.43884384
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,Queensland,Queensland,1993,1181.89862
D. Wetland,Queensland,Queensland,1993,1958.725452
Direct emissions from forest clearing,Queensland,Queensland,1993,38249.25981
E. SettlemeNorthern Territorys,Queensland,Queensland,1993,2373.620125
Emissions from post-clearing land uses,Queensland,Queensland,1993,20867.10006
F.  Fld burning of agricultural residues,Queensland,Queensland,1993,73.13070431
Forest converted to other land uses,Queensland,Queensland,1993,59116.35987
G.  Other product manufAustralian Capital Territoryure and use,Queensland,Queensland,1993,49.76020415
G. Harvested Wood Products,Queensland,Queensland,1993,-982.8260114
G. Liming,Queensland,Queensland,1993,55.54801044
H. Urea application,Queensland,Queensland,1993,88.74314749
PlaNorthern Territoryations and Natural Regeneration,Queensland,Queensland,1993,-304.2218031
Regrowth on deforested land,Queensland,Queensland,1993,-2827.09363
Total (net emissions),Queensland,Queensland,1993,152522.1943
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1993,152522.1943
1.  Cropland remaining cropland,Queensland,Queensland,1994,2768.43061
1.  Energy industrs,Queensland,Queensland,1994,29532.81785
1.  Forest land remaining forest land,Queensland,Queensland,1994,-4140.529301
1.  Grassland remaining grassland,Queensland,Queensland,1994,6503.582159
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,Queensland,Queensland,1994,2.330956567
1.  Solid fuels,Queensland,Queensland,1994,5312.126678
1.  Wetland remaining wetland,Queensland,Queensland,1994,1162.656663
1. Energy,Queensland,Queensland,1994,57649.63646
2.  Industrial Processes,Queensland,Queensland,1994,3163.133055
2.  La nd converted to grassland,Queensland,Queensland,1994,46899.1528
2.  Land converted to cropland,Queensland,Queensland,1994,2171.487732
2.  Land converted to forest land,Queensland,Queensland,1994,-2649.818216
2.  Land converted to settlemeNorthern Territorys,Queensland,Queensland,1994,2515.470123
2.  Land converted to wetland,Queensland,Queensland,1994,477.1184616
2.  ManufAustralian Capital Territoryuring industrs and construction,Queensland,Queensland,1994,7802.583096
2.  Oil and natural gas and other emissions from energy production,Queensland,Queensland,1994,573.4340742
3.  Agriculture,Queensland,Queensland,1994,20514.02812
3.  Transport,Queensland,Queensland,1994,12671.94834
4.  Other sectors,Queensland,Queensland,1994,1756.726421
"4. Land Use, Land-Use Change and Forestry",Queensland,Queensland,1994,54585.80803
5.  Western Australiaste,Queensland,Queensland,1994,4033.791971
A.  ENorthern Territoryeric fermeNorthern Territoryation,Queensland,Queensland,1994,16270.2039
A.  Mineral industry,Queensland,Queensland,1994,986.5684301
A.  Solid Western Australiaste dispoSouth Australial,Queensland,Queensland,1994,2845.056613
A. Forest Land,Queensland,Queensland,1994,-6790.347518
A. Fuel combustion (sectoral approach),Queensland,Queensland,1994,51764.07571
B.  Biological treatmeNorthern Territory of solid Western Australiaste,Queensland,Queensland,1994,9.708230391
B.  Chemical industry,Queensland,Queensland,1994,714.8275134
B.  Manure managemeNorthern Territory,Queensland,Queensland,1994,2018.164968
B. Cropland,Queensland,Queensland,1994,4939.918342
B. Fugitive emissions from fuels,Queensland,Queensland,1994,5885.560752
C.  Incineration and open burning of Western Australiaste,Queensland,Queensland,1994,28.06369004
C. Grassland,Queensland,Queensland,1994,53402.73496
D.  Agricultural soils,Queensland,Queensland,1994,1995.646899
D.  Non-energy products from fuels and solveNorthern Territory use,Queensland,Queensland,1994,72.93494529
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,Queensland,Queensland,1994,1150.963437
D. Wetland,Queensland,Queensland,1994,1639.775125
Direct emissions from forest clearing,Queensland,Queensland,1994,34238.88077
E. SettlemeNorthern Territorys,Queensland,Queensland,1994,2517.80108
Emissions from post-clearing land uses,Queensland,Queensland,1994,17145.36246
F.  Fld burning of agricultural residues,Queensland,Queensland,1994,77.88446631
F.  Product uses as ODS substitutes,Queensland,Queensland,1994,0.22794565
Forest converted to other land uses,Queensland,Queensland,1994,51384.24323
G.  Other product manufAustralian Capital Territoryure and use,Queensland,Queensland,1994,53.9861697
G. Harvested Wood Products,Queensland,Queensland,1994,-1124.07396
G. Liming,Queensland,Queensland,1994,64.12119656
H. Urea application,Queensland,Queensland,1994,88.00668983
PlaNorthern Territoryations and Natural Regeneration,Queensland,Queensland,1994,-242.2258209
Regrowth on deforested land,Queensland,Queensland,1994,-2407.592396
Total (net emissions),Queensland,Queensland,1994,139946.3976
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1994,139946.3976
1.  Cropland remaining cropland,Queensland,Queensland,1995,1363.881056
1.  Energy industrs,Queensland,Queensland,1995,31465.48908
1.  Forest land remaining forest land,Queensland,Queensland,1995,-4221.529511
1.  Grassland remaining grassland,Queensland,Queensland,1995,6299.837502
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,Queensland,Queensland,1995,3.07069367
1.  Solid fuels,Queensland,Queensland,1995,6227.858241
1.  Wetland remaining wetland,Queensland,Queensland,1995,1209.682163
1. Energy,Queensland,Queensland,1995,61615.87892
2.  Industrial Processes,Queensland,Queensland,1995,3008.611788
2.  La nd converted to grassland,Queensland,Queensland,1995,42179.12241
2.  Land converted to cropland,Queensland,Queensland,1995,891.7966546
2.  Land converted to forest land,Queensland,Queensland,1995,-3693.371435
2.  Land converted to settlemeNorthern Territorys,Queensland,Queensland,1995,2140.473392
2.  Land converted to wetland,Queensland,Queensland,1995,466.4374662
2.  ManufAustralian Capital Territoryuring industrs and construction,Queensland,Queensland,1995,7943.058607
2.  Oil and natural gas and other emissions from energy production,Queensland,Queensland,1995,621.5921629
3.  Agriculture,Queensland,Queensland,1995,20434.45228
3.  Transport,Queensland,Queensland,1995,13582.11575
4.  Other sectors,Queensland,Queensland,1995,1775.765071
"4. Land Use, Land-Use Change and Forestry",Queensland,Queensland,1995,45501.90706
5.  Western Australiaste,Queensland,Queensland,1995,3937.926596
A.  ENorthern Territoryeric fermeNorthern Territoryation,Queensland,Queensland,1995,16458.61901
A.  Mineral industry,Queensland,Queensland,1995,993.984189
A.  Solid Western Australiaste dispoSouth Australial,Queensland,Queensland,1995,2797.674601
A. Forest Land,Queensland,Queensland,1995,-7914.900946
A. Fuel combustion (sectoral approach),Queensland,Queensland,1995,54766.42851
B.  Biological treatmeNorthern Territory of solid Western Australiaste,Queensland,Queensland,1995,11.29432799
B.  Chemical industry,Queensland,Queensland,1995,704.1977849
B.  Manure managemeNorthern Territory,Queensland,Queensland,1995,1818.734168
B. Cropland,Queensland,Queensland,1995,2255.67771
B. Fugitive emissions from fuels,Queensland,Queensland,1995,6849.450404
C.  Incineration and open burning of Western Australiaste,Queensland,Queensland,1995,28.15910882
C. Grassland,Queensland,Queensland,1995,48478.95991
D.  Agricultural soils,Queensland,Queensland,1995,1911.050658
D.  Non-energy products from fuels and solveNorthern Territory use,Queensland,Queensland,1995,72.18689454
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,Queensland,Queensland,1995,1100.798558
D. Wetland,Queensland,Queensland,1995,1676.119629
Direct emissions from forest clearing,Queensland,Queensland,1995,30648.27797
E. SettlemeNorthern Territorys,Queensland,Queensland,1995,2143.544086
Emissions from post-clearing land uses,Queensland,Queensland,1995,14333.20448
F.  Fld burning of agricultural residues,Queensland,Queensland,1995,74.09853473
F.  Product uses as ODS substitutes,Queensland,Queensland,1995,18.02048431
Forest converted to other land uses,Queensland,Queensland,1995,44981.48245
G.  Other product manufAustralian Capital Territoryure and use,Queensland,Queensland,1995,58.48440048
G. Harvested Wood Products,Queensland,Queensland,1995,-1137.493323
G. Liming,Queensland,Queensland,1995,61.1130292
H. Urea application,Queensland,Queensland,1995,110.8368772
PlaNorthern Territoryations and Natural Regeneration,Queensland,Queensland,1995,-425.3175076
Regrowth on deforested land,Queensland,Queensland,1995,-3268.053928
Total (net emissions),Queensland,Queensland,1995,134498.7766
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1995,134498.7766
1.  Cropland remaining cropland,Queensland,Queensland,1996,1190.722058
1.  Energy industrs,Queensland,Queensland,1996,32487.21315
1.  Forest land remaining forest land,Queensland,Queensland,1996,577.8297541
1.  Grassland remaining grassland,Queensland,Queensland,1996,8453.682434
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,Queensland,Queensland,1996,4.550133967
1.  Solid fuels,Queensland,Queensland,1996,5418.824586
1.  Wetland remaining wetland,Queensland,Queensland,1996,2025.790634
1. Energy,Queensland,Queensland,1996,62207.85237
2.  Industrial Processes,Queensland,Queensland,1996,2925.895039
2.  La nd converted to grassland,Queensland,Queensland,1996,40428.53357
2.  Land converted to cropland,Queensland,Queensland,1996,2939.62781
2.  Land converted to forest land,Queensland,Queensland,1996,-4143.413114
2.  Land converted to settlemeNorthern Territorys,Queensland,Queensland,1996,2139.870389
2.  Land converted to wetland,Queensland,Queensland,1996,480.3919018
2.  ManufAustralian Capital Territoryuring industrs and construction,Queensland,Queensland,1996,7842.480547
2.  Oil and natural gas and other emissions from energy production,Queensland,Queensland,1996,648.8723474
3.  Agriculture,Queensland,Queensland,1996,20675.29152
3.  Transport,Queensland,Queensland,1996,14022.80092
4.  Other sectors,Queensland,Queensland,1996,1787.660823
"4. Land Use, Land-Use Change and Forestry",Queensland,Queensland,1996,53016.34704
5.  Western Australiaste,Queensland,Queensland,1996,3704.621767
A.  ENorthern Territoryeric fermeNorthern Territoryation,Queensland,Queensland,1996,16636.76072
A.  Mineral industry,Queensland,Queensland,1996,986.3606347
A.  Solid Western Australiaste dispoSouth Australial,Queensland,Queensland,1996,2648.395971
A. Forest Land,Queensland,Queensland,1996,-3565.58336
A. Fuel combustion (sectoral approach),Queensland,Queensland,1996,56140.15544
B.  Biological treatmeNorthern Territory of solid Western Australiaste,Queensland,Queensland,1996,12.87566899
B.  Chemical industry,Queensland,Queensland,1996,554.2292145
B.  Manure managemeNorthern Territory,Queensland,Queensland,1996,1806.969262
B. Cropland,Queensland,Queensland,1996,4130.349868
B. Fugitive emissions from fuels,Queensland,Queensland,1996,6067.696933
C.  Incineration and open burning of Western Australiaste,Queensland,Queensland,1996,4.450907354
C. Grassland,Queensland,Queensland,1996,48882.21601
D.  Agricultural soils,Queensland,Queensland,1996,1969.847915
D.  Non-energy products from fuels and solveNorthern Territory use,Queensland,Queensland,1996,74.80507207
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,Queensland,Queensland,1996,1038.89922
D. Wetland,Queensland,Queensland,1996,2506.182536
Direct emissions from forest clearing,Queensland,Queensland,1996,27215.97033
E. SettlemeNorthern Territorys,Queensland,Queensland,1996,2144.420523
Emissions from post-clearing land uses,Queensland,Queensland,1996,18063.45744
F.  Fld burning of agricultural residues,Queensland,Queensland,1996,74.36043678
F.  Product uses as ODS substitutes,Queensland,Queensland,1996,46.33839195
Forest converted to other land uses,Queensland,Queensland,1996,45279.42777
G.  Other product manufAustralian Capital Territoryure and use,Queensland,Queensland,1996,52.53535883
G. Harvested Wood Products,Queensland,Queensland,1996,-1081.238534
G. Liming,Queensland,Queensland,1996,58.10486183
H. Urea application,Queensland,Queensland,1996,129.2483185
PlaNorthern Territoryations and Natural Regeneration,Queensland,Queensland,1996,-442.5319542
Regrowth on deforested land,Queensland,Queensland,1996,-3700.88116
Total (net emissions),Queensland,Queensland,1996,142530.0077
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1996,142530.0077
1.  Cropland remaining cropland,Queensland,Queensland,1997,427.1631583
1.  Energy industrs,Queensland,Queensland,1997,33722.14968
1.  Forest land remaining forest land,Queensland,Queensland,1997,-684.7858805
1.  Grassland remaining grassland,Queensland,Queensland,1997,4831.448812
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,Queensland,Queensland,1997,4.885250256
1.  Solid fuels,Queensland,Queensland,1997,7261.643899
1.  Wetland remaining wetland,Queensland,Queensland,1997,2170.379562
1. Energy,Queensland,Queensland,1997,66003.04529
2.  Industrial Processes,Queensland,Queensland,1997,2957.468379
2.  La nd converted to grassland,Queensland,Queensland,1997,40731.98932
2.  Land converted to cropland,Queensland,Queensland,1997,1178.799863
2.  Land converted to forest land,Queensland,Queensland,1997,-5332.103792
2.  Land converted to settlemeNorthern Territorys,Queensland,Queensland,1997,2075.250321
2.  Land converted to wetland,Queensland,Queensland,1997,466.010026
2.  ManufAustralian Capital Territoryuring industrs and construction,Queensland,Queensland,1997,8117.17797
2.  Oil and natural gas and other emissions from energy production,Queensland,Queensland,1997,687.3703973
3.  Agriculture,Queensland,Queensland,1997,21068.79513
3.  Transport,Queensland,Queensland,1997,14372.15055
4.  Other sectors,Queensland,Queensland,1997,1842.552799
"4. Land Use, Land-Use Change and Forestry",Queensland,Queensland,1997,44599.42025
5.  Western Australiaste,Queensland,Queensland,1997,3745.050953
A.  ENorthern Territoryeric fermeNorthern Territoryation,Queensland,Queensland,1997,16895.00917
A.  Mineral industry,Queensland,Queensland,1997,1073.458722
A.  Solid Western Australiaste dispoSouth Australial,Queensland,Queensland,1997,2728.974787
A. Forest Land,Queensland,Queensland,1997,-6016.889673
A. Fuel combustion (sectoral approach),Queensland,Queensland,1997,58054.031
B.  Biological treatmeNorthern Territory of solid Western Australiaste,Queensland,Queensland,1997,14.43653124
B.  Chemical industry,Queensland,Queensland,1997,502.7715097
B.  Manure managemeNorthern Territory,Queensland,Queensland,1997,1823.490299
B. Cropland,Queensland,Queensland,1997,1605.963022
B. Fugitive emissions from fuels,Queensland,Queensland,1997,7949.014296
C.  Incineration and open burning of Western Australiaste,Queensland,Queensland,1997,4.521278267
C. Grassland,Queensland,Queensland,1997,45563.43813
D.  Agricultural soils,Queensland,Queensland,1997,2059.673139
D.  Non-energy products from fuels and solveNorthern Territory use,Queensland,Queensland,1997,75.17909745
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,Queensland,Queensland,1997,997.1183568
D. Wetland,Queensland,Queensland,1997,2636.389588
Direct emissions from forest clearing,Queensland,Queensland,1997,29747.24223
E. SettlemeNorthern Territorys,Queensland,Queensland,1997,2080.135571
Emissions from post-clearing land uses,Queensland,Queensland,1997,14002.49748
F.  Fld burning of agricultural residues,Queensland,Queensland,1997,81.88827772
F.  Product uses as ODS substitutes,Queensland,Queensland,1997,78.00778614
Forest converted to other land uses,Queensland,Queensland,1997,43749.73971
G.  Other product manufAustralian Capital Territoryure and use,Queensland,Queensland,1997,49.17962492
G. Harvested Wood Products,Queensland,Queensland,1997,-1269.616386
G. Liming,Queensland,Queensland,1997,54.44637152
H. Urea application,Queensland,Queensland,1997,154.2878788
PlaNorthern Territoryations and Natural Regeneration,Queensland,Queensland,1997,-941.2008228
Regrowth on deforested land,Queensland,Queensland,1997,-4390.902969
Total (net emissions),Queensland,Queensland,1997,138373.78
"Total CO2 equivaleNorthern Territory emissions with land use, land-use change and forestry",Queensland,Queensland,1997,138373.78
1.  Cropland remaining cropland,Queensland,Queensland,1998,-470.9859893
1.  Energy industrs,Queensland,Queensland,1998,38085.45971
1.  Forest land remaining forest land,Queensland,Queensland,1998,-3213.689276
1.  Grassland remaining grassland,Queensland,Queensland,1998,1457.296342
1.  SettlemeNorthern Territorys remaining settlemeNorthern Territorys,Queensland,Queensland,1998,5.286133814
1.  Solid fuels,Queensland,Queensland,1998,8164.406268
1.  Wetland remaining wetland,Queensland,Queensland,1998,2020.100537
1. Energy,Queensland,Queensland,1998,71302.55894
2.  Industrial Processes,Queensland,Queensland,1998,3320.41541
2.  La nd converted to grassland,Queensland,Queensland,1998,41223.16405
2.  Land converted to cropland,Queensland,Queensland,1998,1868.262174
2.  Land converted to forest land,Queensland,Queensland,1998,-5836.646486
2.  Land converted to settlemeNorthern Territorys,Queensland,Queensland,1998,2041.768771
2.  Land converted to wetland,Queensland,Queensland,1998,453.0601449
2.  ManufAustralian Capital Territoryuring industrs and construction,Queensland,Queensland,1998,7998.120828
2.  Oil and natural gas and other emissions from energy production,Queensland,Queensland,1998,657.4362634
3.  Agriculture,Queensland,Queensland,1998,22024.14735
3.  Transport,Queensland,Queensland,1998,14530.81065
4.  Other sectors,Queensland,Queensland,1998,1866.325219
"4. Land Use, Land-Use Change and Forestry",Queensland,Queensland,1998,38264.9781
5.  Western Australiaste,Queensland,Queensland,1998,3704.945673
A.  ENorthern Territoryeric fermeNorthern Territoryation,Queensland,Queensland,1998,17688.67671
A.  Mineral industry,Queensland,Queensland,1998,1140.455043
A.  Solid Western Australiaste dispoSouth Australial,Queensland,Queensland,1998,2702.926116
A. Forest Land,Queensland,Queensland,1998,-9050.335761
A. Fuel combustion (sectoral approach),Queensland,Queensland,1998,62480.71641
B.  Biological treatmeNorthern Territory of solid Western Australiaste,Queensland,Queensland,1998,16.00725015
B.  Chemical industry,Queensland,Queensland,1998,581.7039892
B.  Manure managemeNorthern Territory,Queensland,Queensland,1998,1945.431195
B. Cropland,Queensland,Queensland,1998,1397.276184
B. Fugitive emissions from fuels,Queensland,Queensland,1998,8821.842531
C.  Incineration and open burning of Western Australiaste,Queensland,Queensland,1998,4.587393912
C. Grassland,Queensland,Queensland,1998,42680.46039
D.  Agricultural soils,Queensland,Queensland,1998,2097.502829
D.  Non-energy products from fuels and solveNorthern Territory use,Queensland,Queensland,1998,75.17909745
D.  Western Australiaste Western Australiater treatmeNorthern Territory and discharge,Queensland,Queensland,1998,981.424913
D. Wetland,Queensland,Queensland,1998,2473.160682
